,Year,a1,b1,b2,b3,b4,b5,a2,w1,w2,w3,w4,w5
43,1924,Top 5:,Calvin: 104.01% (from 2421 to 4939),Virgle: 73.58% (from 53 to 92),Corinne: 69.62% (from 372 to 631),Colleen: 68.49% (from 311 to 524),Jackie: 66.1% (from 292 to 485),Bottom 5:,Eris: -56.36% (from 236 to 103),Hardy: -43.22% (from 118 to 67),Dominga: -36.26% (from 91 to 58),Lida: -36.19% (from 105 to 67),Marlene: -35.96% (from 114 to 73)
44,1925,Top 5:,Rosemarie: 97.97% (from 296 to 586),Therese: 84.43% (from 289 to 533),Rosia: 82.14% (from 56 to 102),Monte: 77.97% (from 59 to 105),Dominga: 75.86% (from 58 to 102),Bottom 5:,Eris: -43.69% (from 103 to 58),Quentin: -41.49% (from 188 to 110),Amalia: -41.13% (from 124 to 73),Virgle: -38.04% (from 92 to 57),Violette: -37.93% (from 87 to 54)
45,1926,Top 5:,Vilma: 116.67% (from 54 to 117),Marylou: 78.05% (from 82 to 146),Rudy: 74.07% (from 216 to 376),Georgene: 64.29% (from 56 to 92),Greta: 59.7% (from 67 to 107),Bottom 5:,Dante: -42.05% (from 88 to 51),Ruthe: -40.54% (from 111 to 66),Urban: -38.64% (from 88 to 54),Guido: -37.82% (from 119 to 74),Vada: -37.64% (from 263 to 164)
46,1927,Top 5:,Marylou: 92.47% (from 146 to 281),Huey: 83.87% (from 62 to 114),Vilma: 82.05% (from 117 to 213),Marceline: 71.13% (from 97 to 166),Dante: 68.63% (from 51 to 86),Bottom 5:,Zane: -36.97% (from 119 to 75),Orin: -35.37% (from 82 to 53),Elvis: -35.35% (from 99 to 64),Filomena: -34.48% (from 174 to 114),Hedwig: -33.33% (from 78 to 52)
47,1928,Top 5:,Ramona: 297.7% (from 566 to 2251),Diane: 287.42% (from 159 to 616),Charmaine: 256.76% (from 74 to 264),Huey: 92.98% (from 114 to 220),Gary: 84.62% (from 130 to 240),Bottom 5:,Lita: -42.2% (from 109 to 63),Murphy: -41.57% (from 89 to 52),Lindbergh: -38.79% (from 116 to 71),Marilynn: -38.41% (from 164 to 101),Carmelo: -38.2% (from 89 to 55)
48,1929,Top 5:,Jeanine: 189.71% (from 68 to 197),Jeannine: 180.42% (from 424 to 1189),Gary: 125.83% (from 240 to 542),Sharon: 123.21% (from 168 to 375),Verlin: 63.75% (from 80 to 131),Bottom 5:,Charmaine: -56.82% (from 264 to 114),Lindy: -49.22% (from 193 to 98),Elease: -37.93% (from 87 to 54),Joshua: -37.29% (from 118 to 74),Sonya: -36.14% (from 83 to 53)
49,1930,Top 5:,Marlene: 137.21% (from 129 to 306),Jon: 75.47% (from 53 to 93),Maureen: 72.17% (from 309 to 532),Barry: 65.07% (from 146 to 241),Wynona: 64.41% (from 59 to 97),Bottom 5:,Hoover: -56.6% (from 212 to 92),Jeannine: -50.13% (from 1189 to 593),Verlin: -41.22% (from 131 to 77),Parker: -41.18% (from 85 to 50),Annabell: -37.84% (from 111 to 69)
50,1931,Top 5:,Marlene: 749.35% (from 306 to 2599),Sondra: 184.31% (from 51 to 145),Carole: 100.24% (from 425 to 851),Claudette: 95.0% (from 60 to 117),Dewayne: 72.37% (from 76 to 131),Bottom 5:,Ardeth: -52.07% (from 121 to 58),Dorla: -50.88% (from 171 to 84),Nickolas: -42.48% (from 113 to 65),Catalina: -40.0% (from 115 to 69),Andrea: -38.31% (from 154 to 95)
51,1932,Top 5:,Franklin: 153.49% (from 1090 to 2763),Adrienne: 119.47% (from 113 to 248),Sondra: 104.83% (from 145 to 297),Ronnie: 103.62% (from 221 to 450),Karen: 96.75% (from 154 to 303),Bottom 5:,Joretta: -57.73% (from 194 to 82),Raquel: -39.83% (from 118 to 71),Billye: -37.3% (from 126 to 79),Floy: -37.23% (from 137 to 86),Stanford: -34.35% (from 131 to 86)
52,1933,Top 5:,Delano: 256.52% (from 92 to 328),Glenda: 136.11% (from 288 to 680),Jon: 97.58% (from 165 to 326),Franklin: 94.93% (from 2763 to 5386),Gary: 74.2% (from 1306 to 2275),Bottom 5:,Leatrice: -41.21% (from 165 to 97),Wilber: -39.09% (from 110 to 67),Murphy: -38.37% (from 86 to 53),Aldo: -38.27% (from 81 to 50),Carmel: -36.69% (from 139 to 88)
53,1934,Top 5:,Lynwood: 109.26% (from 54 to 113),Gail: 95.22% (from 712 to 1390),Sandra: 87.01% (from 1370 to 2562),Rheta: 86.42% (from 81 to 151),Gayle: 77.2% (from 364 to 645),Bottom 5:,Magnolia: -40.0% (from 85 to 51),Franklyn: -36.84% (from 133 to 84),Talmadge: -36.21% (from 174 to 111),Romona: -36.14% (from 83 to 53),Ernestina: -34.78% (from 92 to 60)
54,1935,Top 5:,Huey: 164.17% (from 187 to 494),Marva: 152.7% (from 74 to 187),Rochelle: 128.43% (from 102 to 233),Sherry: 125.63% (from 199 to 449),Shirlene: 89.09% (from 55 to 104),Bottom 5:,Rheta: -59.6% (from 151 to 61),Zola: -50.46% (from 109 to 54),Delano: -45.87% (from 218 to 118),Lucien: -44.9% (from 98 to 54),Carolee: -42.03% (from 138 to 80)
55,1936,Top 5:,Shelby: 550.0% (from 188 to 1222),Marylyn: 197.5% (from 80 to 238),Darla: 151.02% (from 98 to 246),Marsha: 129.37% (from 143 to 328),Linda: 102.99% (from 1206 to 2448),Bottom 5:,Shirlee: -42.65% (from 340 to 195),Hilton: -42.16% (from 102 to 59),Dominga: -41.18% (from 85 to 50),Edd: -39.29% (from 84 to 51),Arther: -36.84% (from 114 to 72)
56,1937,Top 5:,Deanna: 2018.18% (from 77 to 1631),Sonja: 211.11% (from 180 to 560),Theodora: 178.33% (from 60 to 167),Ruthann: 123.08% (from 65 to 145),Shelba: 110.24% (from 166 to 349),Bottom 5:,Landon: -65.32% (from 173 to 60),Ferdinand: -46.55% (from 116 to 62),Marylyn: -45.8% (from 238 to 129),Lulu: -43.96% (from 91 to 51),Rupert: -43.01% (from 93 to 53)
57,1938,Top 5:,Lance: 281.43% (from 70 to 267),Rosalie: 234.9% (from 1126 to 3771),Arleen: 216.33% (from 98 to 310),Tyrone: 194.37% (from 71 to 209),Brenda: 190.13% (from 233 to 676),Bottom 5:,Daphne: -46.81% (from 94 to 50),Delano: -45.93% (from 135 to 73),Arline: -38.28% (from 559 to 345),Cordelia: -36.7% (from 109 to 69),Buster: -35.34% (from 116 to 75)
58,1939,Top 5:,Brenda: 310.5% (from 676 to 2775),Jeffrey: 140.76% (from 157 to 378),Penelope: 95.74% (from 188 to 368),Tyrone: 94.26% (from 209 to 406),Melinda: 77.78% (from 108 to 192),Bottom 5:,Rosalie: -42.48% (from 3771 to 2169),Aurelia: -39.81% (from 108 to 65),Simone: -39.29% (from 84 to 51),Shelva: -38.65% (from 163 to 100),Janyce: -37.04% (from 81 to 51)
59,1940,Top 5:,Lana: 387.36% (from 87 to 424),Melanie: 250.88% (from 57 to 200),Vivien: 184.62% (from 52 to 148),Wendell: 177.31% (from 595 to 1650),Tamara: 175.38% (from 65 to 179),Bottom 5:,Gerold: -42.22% (from 90 to 52),Arleen: -35.42% (from 415 to 268),Carmel: -34.09% (from 88 to 58),Iona: -34.01% (from 147 to 97),Bobbye: -33.98% (from 103 to 68)
60,1941,Top 5:,Pamela: 133.76% (from 631 to 1475),Shari: 125.37% (from 67 to 151),Jeffrey: 88.62% (from 800 to 1509),Laraine: 81.94% (from 72 to 131),Sherrie: 77.32% (from 97 to 172),Bottom 5:,Talmadge: -44.95% (from 109 to 60),Bryant: -40.0% (from 105 to 63),Merlene: -38.71% (from 93 to 57),Vivien: -37.16% (from 148 to 93),Tillie: -37.04% (from 81 to 51)
61,1942,Top 5:,Mac: 396.25% (from 80 to 397),Colin: 364.0% (from 75 to 348),Michele: 310.56% (from 180 to 739),Melody: 296.08% (from 51 to 202),Kaaren: 282.0% (from 50 to 191),Bottom 5:,Guillermo: -39.77% (from 88 to 53),Raymon: -38.0% (from 100 to 62),Shelba: -36.15% (from 130 to 83),Vivien: -34.41% (from 93 to 61),Windell: -34.19% (from 117 to 77)
62,1943,Top 5:,Cheryl: 390.51% (from 590 to 2894),Rick: 146.88% (from 96 to 237),Nikki: 129.41% (from 85 to 195),Susann: 101.67% (from 60 to 121),Roseanne: 100.0% (from 90 to 180),Bottom 5:,Jerilynn: -64.2% (from 162 to 58),Macarthur: -57.75% (from 142 to 60),Kaaren: -55.5% (from 191 to 85),Delilah: -45.07% (from 142 to 78),Jerilyn: -44.0% (from 325 to 182)
63,1944,Top 5:,Cheryl: 176.23% (from 2894 to 7994),Charla: 122.22% (from 54 to 120),Cheryle: 120.0% (from 80 to 176),Ricky: 115.43% (from 188 to 405),Debra: 114.71% (from 102 to 219),Bottom 5:,Melvyn: -49.72% (from 177 to 89),Harmon: -49.02% (from 102 to 52),Olive: -47.12% (from 208 to 110),Carson: -43.44% (from 122 to 69),Lucius: -42.86% (from 105 to 60)
64,1945,Top 5:,Lauren: 294.64% (from 112 to 442),Sharyn: 185.5% (from 269 to 768),Truman: 174.11% (from 197 to 540),Candy: 117.58% (from 91 to 198),Marc: 109.93% (from 292 to 613),Bottom 5:,Colin: -47.26% (from 237 to 125),Dorinda: -44.9% (from 147 to 81),Camilla: -42.47% (from 219 to 126),Cyrus: -39.76% (from 83 to 50),Normand: -37.01% (from 127 to 80)
65,1946,Top 5:,Suzette: 503.57% (from 56 to 338),Gilda: 348.53% (from 68 to 305),Candice: 170.3% (from 101 to 273),Cheri: 168.64% (from 220 to 591),Drew: 164.52% (from 93 to 246),Bottom 5:,Truman: -47.04% (from 540 to 286),Laraine: -35.78% (from 232 to 149),Iola: -33.73% (from 83 to 55),Franklyn: -32.47% (from 77 to 52),Carolee: -28.57% (from 119 to 85)
